coef;feature;intercept;max_error;mse;pearson;r2;smape;target
-0.012107520250999365;total_turnover_ret_rolling_7;0.3610856065677856;8.648699808436035;1.0041118735200623;0.07468144035514494;-0.031422600808191925;169.76407151541724;target_ret_prod_rolling_7
0.042129337326274906;total_quantity_ret_rolling_7;0.36712625137487703;8.558142707673383;0.9906739373014464;0.0492346219361553;-0.017619167655359647;167.97944536363235;target_ret_prod_rolling_7
0.08808677554297097;qty_p1_ret_prod_rolling_7;0.36420246126943445;8.665142425466335;0.9679619249820965;0.2016468903914261;0.005710586163693798;168.31823390026835;target_ret_prod_rolling_7
0.046931872515329966;qty_p2_ret_prod_rolling_7;0.3619384294124885;8.592845929771526;0.9978939324350361;0.055394132747207364;-0.025035538634425425;169.20160056499438;target_ret_prod_rolling_7
0.014194549555530558;qty_p3_ret_prod_rolling_7;0.36095355953880426;8.64377504073456;1.0035219486645275;-0.02254031557558639;-0.030816630652053645;169.7770028589186;target_ret_prod_rolling_7
0.04800123803768865;qty_speed_ret_prod_p1p2_rolling_7;0.3615774845273191;8.678297837829186;0.9899089241701242;0.13825741792450696;-0.01683334701687378;169.55434394647895;target_ret_prod_rolling_7
0.02963159560719814;qty_speed_ret_prod_p2p3_rolling_7;0.36099812166929324;8.608153072446061;0.9993514347924222;0.06361424867014463;-0.026532683436497173;169.60470993146694;target_ret_prod_rolling_7
0.020544340999272766;qty_acc_ret_prod_p1p3_rolling_7;0.3608571343501401;8.661358838964693;1.0002749124751626;0.06530779203036664;-0.027481278686129595;169.84962924063765;target_ret_prod_rolling_7
0.07496179677158094;qty_p1_ret_prod_rolling_3;0.36270029851598246;8.649617130712954;0.9826024039803036;0.15201226160201523;-0.009328097596185803;169.0794711770232;target_ret_prod_rolling_7
0.03466091846853386;qty_p2_ret_prod_rolling_3;0.361640366474256;8.649629963640827;0.9913879395725255;0.14801578748183386;-0.018352589994881985;169.31192865861325;target_ret_prod_rolling_7
0.037616024095605174;qty_p3_ret_prod_rolling_3;0.36175293391762964;8.650029128353955;0.9960178586224075;0.08125864606311774;-0.023108437698604378;169.32277392053192;target_ret_prod_rolling_7
0.04982337802468118;qty_speed_ret_prod_p1p2_rolling_3;0.36119417613634897;8.638065105099738;0.9994732448217842;0.052207864161442026;-0.026657806563314516;169.8038088842426;target_ret_prod_rolling_7
-0.0002891383624399991;qty_speed_ret_prod_p2p3_rolling_3;0.36068928190710026;8.63930543676703;1.0030186683265576;0.05019408904754986;-0.030299661648087284;169.85548281307322;target_ret_prod_rolling_7
0.038003825628996034;qty_acc_ret_prod_p1p3_rolling_3;0.3609691090562821;8.638283192315235;1.0033090624338086;0.010682254416611548;-0.030597954152397744;169.86522398048936;target_ret_prod_rolling_7
0.04726067933475352;qty_p1_ret_prod_rolling_1;0.3612821596815081;8.637862626520988;0.9971327979142721;0.07806665196699701;-0.02425370210039546;169.71258096668197;target_ret_prod_rolling_7
0.0601118634149158;qty_p2_ret_prod_rolling_1;0.3619408077062026;8.653411172546381;0.9912519070762046;0.10808184871536887;-0.018212857565807372;169.1680212836;target_ret_prod_rolling_7
0.03351551269867645;qty_p3_ret_prod_rolling_1;0.3614708770476015;8.645747317853669;0.9940832470134221;0.12022258040054007;-0.021121206803407233;169.52297817135533;target_ret_prod_rolling_7
0.01777836676879049;qty_speed_ret_prod_p1p2_rolling_1;0.3607229078661121;8.636909466728257;1.0027740748916638;0.013257006941385647;-0.03004841554353299;169.90777913254476;target_ret_prod_rolling_7
0.026176665892339836;qty_speed_ret_prod_p2p3_rolling_1;0.3607150694049252;8.640845785557742;1.003647306802301;0.001464397268116039;-0.030945398391889034;169.7835731065005;target_ret_prod_rolling_7
0.002884891280360986;qty_acc_ret_prod_p1p3_rolling_1;0.36069230544656466;8.638934261119962;1.0029367813079684;0.009000057657919615;-0.030215547393577458;169.86554315121109;target_ret_prod_rolling_7
0.1961436159079666;qty_p1_ret_style_rolling_7;0.36430306745279983;8.641821038170667;0.9466127191153212;0.23641930889018611;0.02764046670888076;167.73294600994592;target_ret_prod_rolling_7
0.059250578825340294;qty_p2_ret_style_rolling_7;0.36270439660363407;8.666573854727174;0.9928225713297137;0.0864127929683207;-0.019826242141842254;168.8447152118343;target_ret_prod_rolling_7
0.038002107316362804;qty_p3_ret_style_rolling_7;0.36219484351044273;8.64504447071641;1.0000301662593043;0.027817693801372907;-0.027229875645138124;169.28563574091632;target_ret_prod_rolling_7
0.1499269492117895;qty_speed_ret_style_p1p2_rolling_7;0.35994297834447414;8.594541053800853;0.9768537273777627;0.17849578816260633;-0.0034230633774270376;170.0159321023073;target_ret_prod_rolling_7
0.03029259912636642;qty_speed_ret_style_p2p3_rolling_7;0.36074818669903697;8.650173956011992;0.9995171909265085;0.07418660359397179;-0.026702947953258557;169.69532436641305;target_ret_prod_rolling_7
0.10222322073803858;qty_acc_ret_style_p1p3_rolling_7;0.36020409876368786;8.598172687234545;0.9963097556900582;0.08792940096858448;-0.0234082740421675;170.27220987108376;target_ret_prod_rolling_7
0.18045428293768628;qty_p1_ret_style_rolling_3;0.3614096787668667;8.650754651259223;0.96001751551122;0.2351258041362382;0.013871074745121725;168.75798045705736;target_ret_prod_rolling_7
0.09947457283844456;qty_p2_ret_style_rolling_3;0.3633398250524393;8.619151082953545;0.9745052508896366;0.1808468489078939;-0.001010710938222914;168.45063235239996;target_ret_prod_rolling_7
0.0681596657133734;qty_p3_ret_style_rolling_3;0.36275233229390796;8.667965303508554;0.9883958115109509;0.11685934577151824;-0.015279079374594717;168.79289197436225;target_ret_prod_rolling_7
