date;supplierID;retailerID;supplierItemgroupID;SupplierItemgroupName;productID;styleNumber;description;colorname;isNOS;size;quantity;turnover;discount;chainID;ismale;size_scale;discount_pct;price;color_popularity_chain;style_age_chain;total_turnover_chain_rolling;total_turnover_chain_agg;total_quantity_chain_rolling;total_quantity_chain_agg;qty_p1_chain_prod_agg_sun;qty_p2_chain_prod_agg_sun;qty_p3_chain_prod_agg_sun;qty_p1_chain_prod_rolling_7;qty_p2_chain_prod_rolling_7;qty_p3_chain_prod_rolling_7;avg_price_chain;color_popularity_ret;style_age_ret;total_turnover_ret_rolling_7;total_turnover_ret_agg_sun;total_quantity_ret_rolling_7;total_quantity_ret_agg_sun;avg_price_ret;qty_p1_ret_prod_rolling_7;qty_p2_ret_prod_rolling_7;qty_p3_ret_prod_rolling_7;qty_p1_ret_prod_agg_sun;qty_p2_ret_prod_agg_sun;qty_p3_ret_prod_agg_sun;target_prod_agg_sun;target_prod_rolling_7
2017-02-25;6;67;205;WOMEN - DRESS;60689;P17102081;AIR SS DRESS 5898;BLACK;0;S;1;60.823007878721846;0.0;4;0;8888;0.0;60.823007878721846;bananaphone;0.0;505.79754264810634;652.7030543848488;9.0;13.0;0.0;0.0;0.0;1.0;0.0;0.0;57.443951885459526;bananaphone;0.0;60.82300787872191;0.0;1.0;0.0;60.823007878721846;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-05-03;6;66;202;WOMEN - T-SHIRTS;46182;X00012262;VIVIAN SS O-N TEE 5908;WHITE;0;M;1;24.202950712955197;0.0;4;0;8888;0.0;24.202950712955197;bananaphone;0.0;826.8288672562978;739.9783854406294;24.0;22.0;0.0;0.0;0.0;1.0;0.0;0.0;30.925992577664974;bananaphone;0.0;97.62803001873439;96.24778700397152;4.0;3.0;24.202950712955197;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2016-09-09;3;28;300;MEN - BASIC - DON'T USE;24251;M00012013;Marian male v-neck basic 273;BLACK;0;XL;1;23.509851536617532;-7.388810482936938;2;1;10;23.913043478260867;30.89866201955447;bananaphone;0.0;2559.0442136523825;2074.82270448567;38.0;32.0;0.0;0.0;0.0;1.0;0.0;0.0;72.54468474156268;bananaphone;0.0;278.83014858235333;147.83956824222858;3.0;0.0;30.89866201955447;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2016-12-10;1;157;4;Dress;45597;Z99564A;Dress;Black;0;S;1;94.1320127250074;0.0;1;0;2;0.0;94.1320127250074;4.857142857142857;0.0;3109.154693853507;1508.9009955995687;75.0;48.0;0.0;0.0;0.0;1.0;0.0;0.0;45.80755076175645;bananaphone;0.0;154.59938737864604;0.0;2.0;0.0;94.1320127250074;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-01-07;4;36;201;WOMEN - JEANS;30744;F15121100;Alice jean 5859;BLACK BEAUTY;0;"27""";1;80.69755124692948;0.0;2;0;4;0.0;80.69755124692948;bananaphone;0.0;3068.279661742;2092.852773802372;73.0;63.0;0.0;0.0;0.0;1.0;0.0;0.0;69.08199462805327;bananaphone;0.0;283.16415687407374;650.7397011267519;5.0;12.0;52.90172803965377;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2016-11-03;6;31;204;WOMEN - PANTS;25505;N00004524;ENMIAMI PANTS 6095;BLACK;0;XS;1;53.748503399797094;0.0;2;0;2;0.0;53.748503399797094;bananaphone;0.0;2289.235199575626;2761.0036301002033;36.0;40.0;0.0;2.0;0.0;1.0;1.0;1.0;51.32982074680622;bananaphone;0.0;295.56729143029327;184.72643399825142;5.0;4.0;53.748503399797094;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-04-18;1;157;5;Shirt;68056;O10930A;Shirt, LS;Ballerina comb;0;L;1;24.189363776112533;0.0;1;0;6;0.0;24.189363776112533;0.6666666666666666;0.0;1317.2897460629454;2101.719205241472;36.0;57.0;0.0;1.0;0.0;1.0;0.0;0.0;48.38544868692249;bananaphone;0.0;24.189363776112565;17.469907492826927;1.0;1.0;24.189363776112533;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-02-25;4;36;206;WOMEN - SKIRTS;54026;F17202503;Gao skirt 3903;BLACK;0;XS;1;67.58111986524649;0.0;2;0;2;0.0;67.58111986524649;bananaphone;0.0;2151.8447612419354;2486.679462272094;35.0;46.0;0.0;0.0;0.0;1.0;0.0;0.0;80.0460819737253;bananaphone;0.0;465.74721285006285;44.37847725779515;6.0;2.0;99.11897580236153;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-07-17;3;35;315;MEN - SHIRTS;65739;M17123372;Einar SX 7664;GREEN MAUI AOP;0;S;1;33.60849766504021;-33.60849766504021;2;1;4;50.0;67.21699533008042;bananaphone;0.0;2887.781845157805;3076.718832923532;74.0;78.0;0.0;0.0;0.0;1.0;0.0;0.0;47.5560241960319;bananaphone;0.0;339.5038093715897;279.00851357451756;8.0;6.0;60.49529579707237;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-06-06;1;349;1;Pants;38332;Y95901D;Pants, 3/4 length, ex. slim;Night Sky;1;L;1;47.04544597340507;0.0;1;0;6;0.0;47.04544597340507;1.2;0.0;2464.349523652228;2904.308074626047;80.0;94.0;0.0;0.0;0.0;1.0;0.0;0.0;31.809505952489967;bananaphone;0.0;87.39015536701326;40.34470939360819;2.0;1.0;47.04544597340507;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-08-02;4;61;213;WOMEN - TOPS;62240;F00001451;Neval ss stripe 6384;LILAC GREEN ST;0;S;1;11.289866418448383;-26.343021643046217;2;0;4;70.0;37.6328880614946;bananaphone;0.0;3732.5884390759966;3411.0683134066976;109.0;91.0;0.0;0.0;0.0;2.0;0.0;0.0;46.11708827178691;bananaphone;0.0;404.54211681466427;433.6331946422302;6.0;7.0;72.57771269002531;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-08-16;1;144;14;Jacket;106837;Z20783A;Imitated leather jacket;Green Gables as cut;0;50;1;60.505361850671996;-6.723415620352031;1;0;6;10.000800064005121;67.22877747102403;0.14285714285714285;0.0;1896.1553035654329;1557.5996382024555;60.0;50.0;0.0;0.0;0.0;1.0;0.0;0.0;46.568454733204454;bananaphone;0.0;76.22803776493915;0.0;2.0;0.0;67.22877747102403;1.0;0.0;0.0;1.0;0.0;0.0;1.0;bananaphone
2016-09-30;6;48;213;WOMEN - TOPS;27742;P16201011;ENOPEYA LS TOP 6257;BLACK;0;S;1;37.56493619092486;-9.391234047731217;2;0;4;20.000000000000004;46.95617023865608;bananaphone;0.0;3074.6077504830932;2205.586856533313;45.0;30.0;0.0;0.0;0.0;1.0;0.0;0.0;89.41401828638209;bananaphone;0.0;64.41091700698831;147.65289448834898;2.0;3.0;46.95617023865608;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2016-12-09;1;7;14;Jacket;7363;X92620A;Indoor jacket, LS;Black;0;M;1;67.2352307477212;0.0;1;0;4;0.0;67.2352307477212;5.0;0.0;2617.452454839253;1508.9009955995687;67.0;48.0;0.0;2.0;0.0;1.0;0.0;2.0;37.73842651263065;bananaphone;0.0;59.57922629528099;109.27591058670362;1.0;2.0;67.2352307477212;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-01-26;7;35;316;MEN - BELTS/SCARF/TIE;41280;W16422050;Kerkhof Scarf 1380;BLACK;0;ONE SIZE;1;12.10550823638672;-28.246185884902342;2;1;0;70.0;40.351694121289064;bananaphone;0.0;2111.7181990316135;1201.9136861942804;49.0;36.0;0.0;0.0;0.0;1.0;0.0;0.0;81.43705540841974;bananaphone;0.0;231.29415796006515;8.068460033506511;5.0;1.0;62.76930196644965;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-06-10;4;45;200;WOMEN - BASIC - DON'T USE;24472;F00012002;Nobel tee 3170;BLACK;0;S;1;20.156660467714183;-6.718886822571394;2;0;4;25.0;26.875547290285574;bananaphone;0.0;2276.271392712465;2958.202778267061;49.0;69.0;0.0;0.0;0.0;1.0;0.0;0.0;47.89606463518751;bananaphone;0.0;110.89232262052637;56.45186557084993;5.0;1.0;32.25065674834269;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2016-10-24;4;38;200;WOMEN - BASIC - DON'T USE;24843;F00013016;Sik solid 265;BLACK;0;M/L;1;26.88079752272592;-6.7201993806814775;2;0;7;19.999999999999993;33.6009969034074;bananaphone;0.0;4908.656651520497;5328.85070161627;88.0;89.0;0.0;0.0;0.0;1.0;0.0;0.0;44.18531092798073;bananaphone;0.0;67.1884884851749;40.30769096244896;2.0;1.0;33.6009969034074;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2016-10-30;4;55;210;WOMEN - KNIT;24137;F00022150;Nor cardigan 7355;GREY MEL.;0;M;1;134.43287830712256;0.0;2;0;6;0.0;134.43287830712256;bananaphone;0.0;2761.003630100203;2761.0036301002033;40.0;40.0;1.0;0.0;0.0;1.0;0.0;0.0;66.54427476202568;bananaphone;0.0;305.0278060525945;305.0278060525944;1.0;1.0;134.43287830712256;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
2017-02-11;4;55;200;WOMEN - BASIC - DON'T USE;24635;F00002025;Sadie solid 265;BLACK MEL.;0;S/M;1;20.166320654057234;-6.722106884685745;2;0;5;25.0;26.88842753874298;bananaphone;0.0;2074.950984521134;2586.438606594616;42.0;66.0;0.0;0.0;0.0;1.0;0.0;0.0;56.58791795653635;bananaphone;0.0;100.87559971714406;80.66929734892173;2.0;1.0;26.88842753874298;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-07-22;1;148;2;Jeans;6558;J10305C;3/4 length, Slim Fit;Blue denim;1;42;1;33.61384434976438;0.0;1;0;2;0.0;33.61384434976438;0.2857142857142857;0.0;1564.3828885799558;1694.8704632194244;49.0;68.0;1.0;0.0;0.0;1.0;1.0;0.0;27.27396572522676;bananaphone;0.0;73.95180239222022;13.443775201364886;2.0;0.0;36.97590119611009;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-03-11;4;31;213;WOMEN - TOPS;24700;F16201684;Slipin top 6202;BLACK;0;S;1;53.825133723700475;0.0;2;0;4;0.0;53.825133723700475;bananaphone;0.0;2809.6754953630843;2623.1933346330993;36.0;42.0;0.0;0.0;0.0;1.0;0.0;0.0;71.61733070459039;bananaphone;0.0;195.79042804840566;98.20865182666941;5.0;3.0;50.461062865969204;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2016-09-30;4;50;206;WOMEN - SKIRTS;26512;F16301062;Lei p skirt 6621;BLACK;0;S;1;64.3970334701569;-16.099258367539225;2;0;4;20.0;80.49629183769612;bananaphone;0.0;3074.6077504830932;2205.586856533313;45.0;30.0;0.0;0.0;0.0;1.0;0.0;0.0;89.41401828638209;bananaphone;0.0;64.39703347015688;46.94157379732295;1.0;1.0;80.49629183769612;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2016-12-07;1;156;6;Blouse;8556;O10674A;Blouse, Long Sleeve;Sodalite Blue;0;L;1;24.19399731478494;0.0;1;0;6;0.0;24.19399731478494;0.14285714285714285;0.0;2678.560174045205;1508.9009955995687;70.0;48.0;0.0;0.0;0.0;1.0;0.0;0.0;30.67196774941881;bananaphone;0.0;118.25994622694581;94.06594891216088;4.0;3.0;24.19399731478494;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-01-03;6;73;207;WOMEN - BLAZER;30663;P16409020;HATCH BLAZER AOP 6365;CHERRY BLOSSOM AOP;0;S;1;43.72048616631757;-43.72048616631757;4;0;8888;50.0;87.44097233263514;bananaphone;0.0;1836.4062617735954;1965.9654339667106;66.0;73.0;1.0;0.0;0.0;2.0;0.0;0.0;59.99795947746966;bananaphone;0.0;428.80570542250445;434.8039074005626;12.0;14.0;73.98851505069128;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-05-26;1;162;6;Blouse;87551;X92871A;Blouse, SS;Ballerina;0;M;1;24.76054692632959;-8.913204116904977;1;0;4;26.469293858771753;33.67375104323457;0.5;0.0;2142.114504470773;2577.9070748767535;78.0;81.0;0.0;0.0;0.0;1.0;0.0;0.0;35.74269525330384;bananaphone;0.0;94.55785469871248;127.37069871789464;4.0;4.0;33.67375104323457;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2016-12-23;3;48;318;MEN - UNDERWEAR/SOCKS;24279;M00010030;Tank 2098;BLACK;0;M;1;13.485106535234186;-6.742553267617093;2;1;6;33.333333333333336;20.227659802851278;bananaphone;0.0;7819.994092715867;5343.2639880327215;129.0;99.0;0.0;0.0;0.0;1.0;0.0;0.0;52.880882056025484;bananaphone;0.0;487.5599853646344;43.73491655161368;7.0;2.0;20.227659802851278;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-08-30;1;164;10;T-shirts;112204;Z94882B;Tank top;Racing Red;0;S;1;17.46158490624309;0.0;1;0;2;0.0;17.46158490624309;0.2857142857142857;0.0;1541.7577897124725;1397.615565942788;48.0;38.0;0.0;0.0;0.0;1.0;0.0;0.0;37.04153753889575;bananaphone;0.0;71.20349243415322;0.0;2.0;0.0;35.601746217076624;1.0;0.0;0.0;1.0;0.0;0.0;1.0;bananaphone
2017-03-31;1;163;24;Knitted Blouses;8345;O10672C;Knitted Blouse, Long Blouse;Eventide;0;M;1;20.168051309383365;-20.16132862561357;1;0;4;49.99166527754626;40.329379934996936;0.2857142857142857;0.0;3041.619427659861;2398.0165575105634;103.0;67.0;0.0;0.0;0.0;1.0;0.0;0.0;42.8168401566586;bananaphone;0.0;20.168051309383323;112.97880489432555;1.0;3.0;40.329379934996936;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-01-21;4;52;200;WOMEN - BASIC - DON'T USE;37235;F00015035;Sanella cardigan 3111;CASHMERE BLUE;0;M;1;32.259399595662565;-48.38909939349385;2;0;6;60.0;80.64849898915642;bananaphone;0.0;1121.978445020607;2914.8336781652206;38.0;61.0;0.0;0.0;0.0;1.0;0.0;0.0;57.663676777246835;bananaphone;0.0;69.89536579060224;37.641905058374455;2.0;1.0;67.20708249096367;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-07-02;3;35;309;MEN - POLO;55960;M17122207;Doherty zip polo 6914;DARK SAPPHIRE;0;XL;1;47.05723487716232;-47.05723487716232;2;1;10;50.0;94.11446975432465;bananaphone;0.0;2596.7862773240886;2596.78627732409;74.0;74.0;1.0;0.0;0.0;1.0;0.0;0.0;48.29830480798857;bananaphone;0.0;218.5339490769355;218.5339490769357;5.0;5.0;94.11446975432465;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0
2017-05-29;1;148;6;Blouse;85194;X92871C;Blouse, 1/2;Vanilla Ice;0;S;1;32.2456948869644;-8.0614237217411;1;0;2;20.0;40.3071186087055;0.6666666666666666;0.0;2447.915111931867;2243.9570169118165;85.0;81.0;0.0;0.0;0.0;1.0;0.0;0.0;33.02823126757682;bananaphone;0.0;100.79718823129278;68.55149334432834;3.0;2.0;40.3071186087055;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
2017-06-01;1;17;1;Pants;38378;O10314L;Shorts, above knee;Black;0;M;1;20.154660100830828;0.0;1;0;4;0.0;20.154660100830828;4.0;0.0;2730.5913621205123;2243.9570169118165;93.0;81.0;0.0;0.0;0.0;1.0;0.0;0.0;30.90739640004034;bananaphone;0.0;67.19259755632646;47.00134675019318;3.0;3.0;20.154660100830828;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0
